KINGS HIGHWAY,AVENUE I,444.0
13 AVENUE,72 STREET,281.0
COURT STREET,DE GRAW STREET,869.0
DITMAS AVENUE,EAST 13 STREET,281.0
CORTELYOU ROAD,EAST 11 STREET,218.0
HUDSON STREET,GANSEVOORT STREET,281.0
AVENUE OF THE AMERICAS,VANDAM STREET,125.0
HUTCHINSON RIVER PKWY,LAURIE AVENUE,444.0
FLATLANDS AVE,LOUISIANA AVE,326.0
CATHERINE STREET,MONROE STREET,424.0
7 AVENUE,WEST 27 STREET,444.0
BROADWAY,ACADEMY STREET,125.0
CONEY ISLAND AVE,CATON AVE,326.0
CROPSEY AVE,27th AVE,444.0
UNION STREET,37 AVE,444.0
BROADWAY,WEST 74 STREET,444.0
9 AVENUE,WEST 25 STREET,281.0
9 AVENUE,WEST 45 STREET,204.0
5 AVENUE,EAST 46 STREET,869.0
RICHMOND HILL ROAD,EDINBORO ROAD,125.0
MARATHON PKWY,61 AVE,218.0
39 STREET,12 AVENUE,204.0
CHRYSTIE STREET,2 AVENUE,281.0
ALBANY AVENUE,FARRAGUT ROAD,204.0
VAN WYCK EXPRESSWAY,102 AVENUE,281.0
ATLANTIC AVE,LINCOLN AVE,444.0
HOWARD AVENUE,BAINBRIDGE STREET,326.0
CHURCH AVE,E 13th ST,204.0
WALTHAM STREET,101 AVE,869.0
CROTONA AVENUE,EAST FORDHAM ROAD,424.0
AMSTERDAM AVE,WEST 168 ST,444.0
ATLANTIC AVENUE,HINSDALE STREET,204.0
AUDUBON AVE,WEST 172 ST,281.0
HUDSON STREET,CHARLTON STREET,424.0
WOODHAVEN BLVD,97th AVE,444.0
5 AVENUE,EAST 11 STREET,125.0
ESPLANADE,HAIGHT AVENUE,125.0
JAMAICA AVE,101st ST,125.0
1 AVE,EAST 120 ST,424.0
Manhattan WEST 155 ST,EDGECOMBE AVE,125.0
HENRY HUDSON PKWY,W 235th ST,869.0
CONEY ISLAND AVENUE,FOSTER AVENUE,424.0
2 AVENUE,EAST 12 STREET,125.0
ARCHER AVE,143 STREET,204.0
GRAND STREET,BROADWAY,424.0
AVENUE D,BROOKLYN AVENUE,204.0
8 AVENUE,WEST 26 STREET,204.0
BROADWAY,WEST 175 ST,204.0
5 AVENUE,24 STREET,204.0
BROADWAY,WEST 98 ST,326.0
MARKET STREET,CHERRY STREET,218.0
AVENUE N,BOB STONEHILL WAY,869.0
MYRTLE AVE,CLASSON AVE,326.0
3 AVENUE,EAST 73 STREET,424.0
18 AVENUE,72 STREET,424.0
AVENUE J,EAST 46 STREET,125.0
150th ST,148th ST,125.0
COLONIAL ROAD,WAKEMAN PLACE,424.0
BEDFORD AVE,LORIMER ST,125.0
AVE P,CONEY ISLAND AVE,218.0
CROSS ISLAND PARKWAY,107 AVENUE,281.0
DRUMGOOLE ROAD WEST,ANNADALE ROAD,869.0
4 AVENUE,28 STREET,326.0
BRINKERHOFF AVE,111 AVE,204.0
51 STREET,13 AVENUE,869.0
HUNGRY HARBOR RD,148th ST,444.0
KINGS HWY,W 11th ST,218.0
BEDFORD AVE,PROSPECT PL,869.0
WEST 39 STREET,5 AVENUE,424.0
WEBSTER AVENUE,EAST 233 STREET,869.0
SHORE PKWY,BAY 46th ST,326.0
8 AVE,WEST 147 ST,125.0
SOUTHERN BOULEVARD,ALDUS STREET,869.0
51 STREET,19 AVENUE,424.0
NOSTRAND AVE,AVE P,326.0
PAULDING AVENUE,LYDIG AVENUE,218.0
AMSTERDAM AVE,WEST 168 ST,204.0
FLATLANDS AVENUE,EAST 78 STREET,869.0
ATLANTIC AVE,LINCOLN AVE,204.0
HENRY HUDSON PKWY,INDEPENDENCE AVE,869.0
CHURCH AVE,E 13th ST,444.0
CHAMBERS STREET,BROADWAY,326.0
BOSTON ROAD,FISH AVENUE,326.0
CORTLANDT ALLEY,WALKER STREET,869.0
COLUMBUS AVE,WEST 103 ST,424.0
AMSTERDAM AVE,WEST 164 ST,218.0
ROGERS AVE,LENOX RD,424.0
7 AVENUE,WEST 12 STREET,424.0
ARCHER AVE,143 STREET,444.0
LONGWOOD AVENUE,EAST 160 STREET,424.0
OCEAN AVE,CATON AVE,281.0
ATLANTIC AVENUE,HINSDALE STREET,444.0
ALLEN STREET,DELANCEY STREET,424.0
WOODHAVEN BLVD,97th AVE,204.0
BOSTON ROAD,EAST 176 STREET,281.0
5 AVENUE,BROADWAY,326.0
DYCKMAN STREET,VERMILYEA AVENUE,281.0
THROGS NECK EXPWY SER RD,HARDING AVENUE,218.0
WEST 29 STREET,5 AVENUE,125.0
AVENUE D,BROOKLYN AVENUE,444.0
8 AVENUE,WEST 26 STREET,444.0
